date,position,cash,mkt_val,NAV
2024-12-16,0,100250.57142857142,0.0,100250.57142857142
2024-12-17,0,100250.57142857142,0.0,100250.57142857142
2024-12-18,0,100250.57142857142,0.0,100250.57142857142
2024-12-19,0,100250.57142857142,0.0,100250.57142857142
2024-12-20,0,100250.57142857142,0.0,100250.57142857142
2024-12-23,0,100250.57142857142,0.0,100250.57142857142
2024-12-24,0,100250.57142857142,0.0,100250.57142857142
2024-12-26,0,100250.57142857142,0.0,100250.57142857142
2024-12-27,0,100250.57142857142,0.0,100250.57142857142
2024-12-30,0,100250.57142857142,0.0,100250.57142857142
2024-12-31,0,100250.57142857142,0.0,100250.57142857142
2025-01-02,0,100250.57142857142,0.0,100250.57142857142
2025-01-03,0,100250.57142857142,0.0,100250.57142857142
2025-01-06,0,100250.57142857142,0.0,100250.57142857142
2025-01-07,0,100250.57142857142,0.0,100250.57142857142
2025-01-08,0,100250.57142857142,0.0,100250.57142857142
2025-01-10,0,100250.57142857142,0.0,100250.57142857142
2025-01-13,0,100250.57142857142,0.0,100250.57142857142
2025-01-14,0,100250.57142857142,0.0,100250.57142857142
2025-01-15,0,100250.57142857142,0.0,100250.57142857142
2025-01-16,0,100250.57142857142,0.0,100250.57142857142
2025-01-17,0,100250.57142857142,0.0,100250.57142857142
2025-01-21,0,100250.57142857142,0.0,100250.57142857142
2025-01-22,100,39606.57142857141,60644.00000000001,100250.57142857142
2025-01-23,100,39606.57142857141,60975.0,100581.57142857142
2025-01-24,100,39606.57142857141,60797.0,100403.57142857142
2025-01-27,0,99493.14285714284,0.0,99493.14285714284
2025-01-28,0,99493.14285714284,0.0,99493.14285714284
2025-01-29,0,99493.14285714284,0.0,99493.14285714284
2025-01-30,0,99493.14285714284,0.0,99493.14285714284
2025-01-31,0,99493.14285714284,0.0,99493.14285714284
2025-02-03,0,99493.14285714284,0.0,99493.14285714284
2025-02-04,0,99493.14285714284,0.0,99493.14285714284
2025-02-05,0,99493.14285714284,0.0,99493.14285714284
2025-02-06,0,99493.14285714284,0.0,99493.14285714284
2025-02-07,0,99493.14285714284,0.0,99493.14285714284
2025-02-10,0,99493.14285714284,0.0,99493.14285714284
2025-02-11,0,99493.14285714284,0.0,99493.14285714284
2025-02-12,0,99493.14285714284,0.0,99493.14285714284
2025-02-13,0,99493.14285714284,0.0,99493.14285714284
2025-02-14,0,99493.14285714284,0.0,99493.14285714284
2025-02-18,100,38344.14285714284,61149.0,99493.14285714284
2025-02-19,100,38344.14285714284,61292.99999999999,99637.14285714284
2025-02-20,100,38344.14285714284,61038.0,99382.14285714284
2025-02-21,0,98915.42857142855,0.0,98915.42857142855
2025-02-24,0,98915.42857142855,0.0,98915.42857142855
2025-02-25,0,98915.42857142855,0.0,98915.42857142855
2025-02-26,0,98915.42857142855,0.0,98915.42857142855
2025-02-27,0,98915.42857142855,0.0,98915.42857142855
2025-02-28,0,98915.42857142855,0.0,98915.42857142855
2025-03-03,0,98915.42857142855,0.0,98915.42857142855
2025-03-04,0,98915.42857142855,0.0,98915.42857142855
2025-03-05,0,98915.42857142855,0.0,98915.42857142855
2025-03-06,0,98915.42857142855,0.0,98915.42857142855
2025-03-07,0,98915.42857142855,0.0,98915.42857142855
2025-03-10,0,98915.42857142855,0.0,98915.42857142855
2025-03-11,0,98915.42857142855,0.0,98915.42857142855
2025-03-12,0,98915.42857142855,0.0,98915.42857142855
2025-03-13,0,98915.42857142855,0.0,98915.42857142855
2025-03-14,0,98915.42857142855,0.0,98915.42857142855
2025-03-17,0,98915.42857142855,0.0,98915.42857142855
2025-03-18,0,98915.42857142855,0.0,98915.42857142855
2025-03-19,0,98915.42857142855,0.0,98915.42857142855
2025-03-20,0,98915.42857142855,0.0,98915.42857142855
2025-03-21,0,98915.42857142855,0.0,98915.42857142855
2025-03-24,0,98915.42857142855,0.0,98915.42857142855
2025-03-25,0,98915.42857142855,0.0,98915.42857142855
2025-03-26,0,98915.42857142855,0.0,98915.42857142855
